Police arrest 15 after violent protest outside UK refugee hotel	Polizei verhaftet 15 nach gewalttätigen Protesten vor einem Flüchtlingshotel in Großbritannien	Polizei verhaftet 15 Menschen nach gewalttätigen Protesten vor einer Flüchtlingsunterkunft in Großbritannien
The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats. Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool. The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley. The police force said some protesters threw objects and set a police van on fire. The people arrested, who ranged in age from 13 to 54, were detained "following violent disorder." Merseyside police commissioner Emily Spurrell told Radio City, "It was incredibly dangerous and there were a couple of injuries amongst the police officers."	Die Polizei hat 15 Personen verhaftet, nachdem eine Anti-Flüchtlingsdemonstration vor einem Hotel, in dem Asylbewerber untergebracht waren, in der Nähe der englischen Stadt Liverpool zu Gewalt geworden war. Die Polizeibehörde von Merseyside sagte, dass ein Polizist und zwei Zivilisten bei den Unruhen am Freitagabend in Knowsley leichte Verletzungen erlitten haben. Die Polizei sagte, dass einige Demonstranten Gegenstände geworfen und einen Polizeiwagen angezündet haben. Die verhafteten Personen, die zwischen 13 und 54 Jahre alt waren, wurden "nach gewaltsamen Unruhen" festgenommen.	Der Vorfall ereignet sich, nachdem sich die Zahl der Flüchtlinge und Asylbewerber, die den Ärmelkanal nach Großbritannien in Booten überqueren, ansteigt. Die Polizei hat 15 Menschen verhaftet, nachdem Anti-Flüchtlingsdemonstrationen vor einem Hotel in der Nähe der englischen Stadt Liverpool, das verwendet wird, um Asylbewerber unterzubringen, gewalttätig wurden. Laut dem Polizeirevier von Merseyside erlitten ein Polizeibeamter und zwei Zivilisten während des Tumults am Freitagabend in Knowsley leichte Verletzungen. Die Polizei gab bekannt, dass einige Demonstranten Gegenstände warfen und einen Polizeiwagen anzündeten. Die verhafteten Menschen, die zwischen 13 und 54 Jahren alt waren, wurden „aufgrund von gewalttätigen Ausschreitungen“ inhaftiert. Die Polizeikommissarin von Merseyside Emily Spurrell äußerte gegenüber Radio City, „Es war unglaublich gefährlich und es gab einige Verletzte unter den Polizeibeamten.“
The Home Office has been using the hotel to temporarily house asylum seekers since last year, according to local media. George Howarth, who represents Knowsley in the UK Parliament, said the violence on Friday night did not reflect the community. "The people of Knowsley are not bigots and are welcoming to people escaping from some of the most dangerous places in the world in search of a place of safety," he said. "Those demonstrating against refugees at this protest tonight do not represent this community." The protest took place amid heightened tensions as growing numbers of refugees and migrants cross the Channel in small boats.	Das Innenministerium nutzt das Hotel seit letztem Jahr laut lokalen Medien zur vorübergehenden Unterbringung von Asylbewerbern. George Howarth, der Knowsley im britischen Parlament vertritt, sagte, die Gewalt am Freitagabend spiegelte die Gemeinschaft nicht wider. "Die Menschen in Knowsley sind keine Bigotten und begrüßen Menschen, die aus einigen der gefährlichsten Orte der Welt auf der Suche nach einem sicheren Ort fliehen", sagte er. "Diejenigen, die heute Abend bei diesem Protest gegen Flüchtlinge demonstrieren, repräsentieren diese Gemeinschaft nicht". Der Protest fand inmitten erhöhter Spannungen statt, da eine wachsende Zahl von Flüchtlingen und Migranten den Ärmelkanal in kleinen Booten überquert.	Das Innenministerium hat das Hotel seit letztem Jahr verwendet, um vorübergehend Asylbewerber unterzubringen, so die lokalen Medien. George Howarth, der Knowsley im britischen Parlament vertritt, sagte, dass die Gewalt am Freitagabend nicht die Gemeinde widerspiegelt. „Die Einwohner von Knowsley sind keine Rassisten und sind gastfreundlich gegenüber Menschen, die von einigen der gefährlichsten Orten der Welt auf der Suche nach einem sicheren Ort fliehen“, sagte er. „Diejenigen, die bei heute Abend bei diesem Protest demonstrieren, spiegeln diese Gemeinde nicht wider.“ Der Protest fand unter erhöhten Spannungen statt, während wachsende Zahlen von Flüchtlingen und Migranten den Ärmelkanal in kleinen Booten überqueren.
More than 45,000 people reached the UK by that route in 2022, and most applied for asylum. The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations. The Channel crossings have become a political issue, with the Conservative government promising to "stop the boats" and pursuing a plan to send such asylum seekers to Rwanda. Opponents have accused the government of demonising desperate people fleeing war and poverty.	Die britische Regierung hat die Überfahrt des Kanals zu einem politischen Thema gemacht, da die konservative Regierung verspricht, "die Boote zu stoppen" und einen Plan zur Entsendung solcher Asylbewerber nach Ruanda zu verfolgen.	Mehr als 45.000 Menschen haben 2022 Großbritannien auf diesem Weg erreicht und die meisten haben einen Asylantrag gestellt. Das System, das Asylanträge bearbeitet, hat sich aufgrund politischer Unruhen und bürokratischer Verzögerungen stark verlangsamt, was dazu führte, dass viele Asylbewerber in Hotels und vorübergehenden Unterkünften feststecken. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, die konservative Regierungen verspricht hierbei „die Boote zu stoppen“ und verfolgt einen Plan, jene Asylbewerber nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.
President's Cup: Candystripes defeat Rovers in season opener at Brandywell	Präsidenten-Cup: Candystripes besiegt Rovers im Saisonauftakt in Brandywell	President's Cup: Candystripes besiegen Rovers bei Saisonstart in Brandywell
Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell	Derry-Mittelfeldspieler Adam Reilly schließt Lee Grace im Brandywell ab	Derry-Mittelfeldspieler Adam Reilly blockt Lee Grace in Brandywell
Derry City emerged victorious in the President's Cup as they ran out 2-0 winners over Shamrock Rovers. The FAI Cup holders defeated last season's league winners at the Brandywell thanks to first-half goals from Will Patching and Michael Duffy. The Hoops pushed to reduced terms in the second half but Ruaidhri Higgins' charges stood firm to win the curtain-raiser. Derry travel to St. Patrick's Athletic for the league opener next Friday. Patching's side-footed volley nudged Derry in front after 23 minutes - the midfielder opened the scoring as the Foylesider's ran out 2-1 winners over the eventual champions last February.	Derry City gewann den President's Cup mit einem 2:0 gegen Shamrock Rovers. Die FAI Cup-Inhaber besiegten die Liga-Sieger der letzten Saison auf dem Brandywell dank der ersten Halbzeit von Will Patching und Michael Duffy. Die Hoops drängten in der zweiten Halbzeit auf reduzierte Bedingungen, aber Ruaidhri Higgins' Gebühren standen fest, um den Vorhang zu heben. Derry reiste am nächsten Freitag zum Eröffnungsspiel der Liga nach St. Patrick's Athletic. Der seitliche Volley von Patching stieß Derry nach 23 Minuten vor - der Mittelfeldspieler eröffnete die Punktzahl, als die Foyles mit 2:1 gegen die späteren Meister ausfielen.	Derry City ging siegreich aus dem President's Cup hervor, nachdem es mit 2: 0 gegen die Shamrock Rovers gewonnen hatte. Der Titelverteidiger des FAI Cup besiegte den Sieger der letzten Saison in Brandywell aufgrund Toren von Will Patching und Michael Duffy in der ersten Halbzeit. Die Hoops ließen in der zweiten Halbzeit nach, aber Ruaidhri Higgins Schüsse waren stark genug, um den Auftakt zu gewinnen. Derry reiste zu den St. Patrick's Athletics für das erste Spiel der Saison nächsten Freitag. Patchings seitlicher Volley schoss Derry nach 23 Minuten nach vorne – der Mittelfeldspieler erzielte das erste Tor, nachdem die Foylesider letzten Februar 2:1 gegen die späteren Meister gespielt hatten.
The Hoops went on to win the Premier Division by 13 points but Duffy soon had City further ahead with a long-range effort which managed to squirm under keeper Leon Pohls and into the net. Last season's runners-up were two goals to good at the break. Graham Burke went closest to reducing the arrears in the second period but the Candystripes were comfortable winners a week prior to their quest for national glory. City boss Ruaidhri Higgins praised his team after what he said was the "hardest week of my life" following the death of his brother Kevin. "It's a kick in the teeth and there's tough weeks ahead but we'll get on with it in his memory," said Higgins. "To beat Shamrock Rovers and deservedly so with a good performance is really pleasing."	Die Hoops gewannen die Premier Division mit 13 Punkten, aber Duffy hatte City bald mit einer Langstrecken-Anstrengung weiter vorn, die es geschafft hat, sich unter Torhüter Leon Pohls zu winden und ins Netz zu kommen. Die Zweitplatzierten der letzten Saison hatten zwei Tore vor der Pause. Graham Burke kam der Reduzierung der Rückstände in der zweiten Periode am nächsten, aber die Candystripes waren eine Woche vor ihrer Suche nach nationalem Ruhm bequeme Gewinner. Der City-Chef Ruaidhri Higgins lobte seine Mannschaft nach der "schwierigsten Woche meines Lebens" nach dem Tod seines Bruders Kevin. "Es ist ein Tritt in die Zähne und es gibt harte Wochen vor uns, aber wir werden es in seiner Erinnerung schaffen", sagte Higgins. "Shamrock Rovers zu schlagen und so verdient mit einer guten Leistung ist wirklich erfreulich".	Die Hoops gewannen daraufhin die Premier Division um 13 Punkte, aber Duffy hatte City bald weit vor sich, mit langfristigen Bemühungen, die es schafften sich unter Keeper Leon Pohls ins Netz zu winden. Die Zweitplatzierten der letzten Saison führten in der Halbzeit mit zwei Toren. Graham Burke war nah dran, den Rückstand in der zweiten Halbzeit auszugleichen, aber die Candystripes waren in der vorigen Woche die komfortablen Gewinner ihres Strebens nach nationalem Ruhm. City-Chef Ruaidhri Higgins lobte sein Team nach der laut ihm „schwierigsten Woche meines Lebens“ nach dem Tod seines Bruders Kevin. „Es war Schlag ins Gesicht und vor mir liegen harte Wochen, aber wir machen in seinem Gedenken weiter“, sagte Higgings. „Die Shamrock Rovers zu schlagen und das verdientermaßen mit einer guten Leistung ist sehr erfreulich.“
DHS hires law firm to handle possible Alejandro Mayorkas impeachment proceedings	Das DHS engagiert eine Anwaltskanzlei, um sich um das mögliche Amtsenthebungsverfahren gegen Alejandro Mayorkas zu kümmern.	DHS engagiert Anwaltskanzlei, um mögliches Amtsenthebungsverfahren gegen Alejandro Mayorkas zu bearbeiten
The Department of Homeland Security has hired an outside law firm - Debevoise & Plimpton - to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border. "The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings," a DHS spokesperson said in a statement Friday. "DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS." A DHS official tells CBS News the department has hired the firm for contracted work for the life of the congressional inquiry. Debevoise was chosen because of its expertise in impeachment and bipartisan experience in working with Congress on oversight.	Das Department of Homeland Security hat eine externe Anwaltskanzlei - Debevoise & Plimpton - engagiert, um bei einem möglichen Amtsenthebungsverfahren gegen Secretary Alejandro Mayorkas zu helfen, da er potenziell von den Republikanern des Repräsentantenhauses wegen seines Umgangs mit der südlichen Grenze angeklagt wird. "Das Department of Homeland Security hat externe Rechtsanwälte engagiert, um sicherzustellen, dass die lebenswichtige Mission des Departments nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Kongressmitglieder unterbrochen wird, die bereits Schritte unternommen haben, um Verfahren einzuleiten", sagte ein Sprecher des DHS in einer Erklärung am Freitag. "DHS wird weiterhin ihre Arbeit priorisieren, um unser Land vor Terrorismus zu schützen, auf Naturkatastrophen zu reagieren und unsere Grenzen zu sichern, während sie angemessen auf die über 70 Kongresskomitees und Unterausschüsse reagiert, die die Aufsicht über das DHS haben". Ein DHS-Beamter sagte CBS News, dass das Department die Firma für die Amtsenthebungsarbeit des Kongresses für das Leben des Amtsenthebungsverfahren durch einige Kongressmitglieder, die bereits Schritte untern unternimmt haben, die Schritte unerkannt haben, die Schritte unbegrichtigung und die Berechtigung, umgehend sind, und ein bipartisanen, und ein Sprecher der Untersuchung des Kongresses, der bereits Schritte unternim.	Das Heimatschutzministerium hat eine außenstehende Anwaltskanzlei – Debevoise & Plimpton – engagiert, um beim möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu helfen, da er sich womöglich gegenüber Republikanern bezüglich seines Umgangs mit der südlichen Grenze verantworten muss. „Das Heimatschutzministerium hat Beratung von außen hinzugezogen, um dabei zu helfen sicherzustellen, dass die wichtige Aufgabe des Ministeriums nicht von beispiellosen, ungerechtfertigten und parteiischen Bemühungen einiger Kongressmitglieder eine Amtsenthebung einzuleiten, wofür bereits Schritte eingeleitet wurden, unterbrochen wird“, so ein DHS-Sprecher in einer Stellungnahme am Freitag. „Das DHS wird weiterhin seine Arbeit, unser Land vor Terrorismus zu schützen, auf Naturkatastrophen zu reagieren und unsere Grenzen zu wahren, priorisieren, während es angemessen auf die über 70 Kongressausschüsse und -unterausschüsse, die Kontrolle über das DHS haben, reagiert.“ Ein DHS-Beamter sagte gegenüber CBS News, dass das Ministerium die Kanzlei für Vertragsarbeit für den Zeitraum der Kongressermittlung engagiert hat. Debevoise wurde aufgrund ihrer Expertise im Bereich Amtsenthebung und überparteilicher Erfahrung in der Arbeit mit dem Kongress an Überwachung ausgewählt.
The Justice Department recently advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS. DHS is trying to ensure that its mission isn't undermined by partisan attacks and that proceedings against Mayorkas are being handled by people with the appropriate expertise. Mayorkas has not commented on this development, but asked about the impeachment inquiry last Thursday, he told reporters, "We will cooperate with this Congress, just as we did with the last Congress. I think that's our responsibility." He conceded that "it will take time" to comply with the House's investigation. "I will spend that time as will others and we will also not compromise the time that we spend in fulfilling our mission." A DHS senior official confirmed that Mayorkas has not yet met with his new outside counsel. Only one cabinet member has ever been impeached, Secretary of War William Belknap. In 1876, Belknap, who served in President Ulysses S. Grant's administration, was accused of accepting bribes but was ultimately acquitted by the Senate.	Die US-Justizbehörde gab kürzlich bekannt, dass der Vertrag mit Debevoise eine angemessene Ausgabe für das DHS darstellt. Das DHS versucht sicherzustellen, dass sein Auftrag nicht durch partisanische Angriffe untergraben wird und dass die Verfahren gegen Mayorkas von Personen mit entsprechender Expertise abgewickelt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, aber auf die Anklagefrage am vergangenen Donnerstag wurde er Reportern gegenüber geantwortet: "Wir werden mit diesem Kongress zusammenarbeiten, so wie wir es mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung". Er räumte ein, dass "es Zeit braucht", um der Untersuchung des Hauses nachzukommen. "Ich werde diese Zeit wie andere verbringen, und wir werden auch nicht die Zeit, die wir für die Erfüllung unserer Mission verbringen, beeinträchtigen". Ein hochrangiger DHS-Beamter bestätigte, dass Mayorkas sich noch nicht mit seinem neuen Außenbeauftraggeber getroffen hat. Nur ein Kabinettsmitglied wurde jemals angeklagt, der Amtsenthebung von William Warknap.	Das Justizministerium riet neulich an, dass der Vertrag mit Debevoise sich als angemessene Ausgabe des DHS qualifiziert. Das DHS versucht, sicherzustellen, dass sein Ziel nicht von überparteilichen Angriffen untergraben wird und dass Verfahren gegen Mayorkas von Menschen mit angemessener Expertise bearbeitet werden. Mayorkas hat diese Entwicklung nicht kommentiert, aber hat letzten Donnerstag nach dem Antrag auf Amtsenthebung gefragt, sagte er Reportern, „Wir werden mit diesem Kongress kooperieren, genauso wie wir es mit dem letzten Kongress getan haben. Ich glaube, das ist unsere Pflicht.“ Er räumte ein, dass „es dauern wird“, den Ermittlungen des Repräsentantenhauses nachzukommen. „Ich werde diese Zeit genauso wie andere nutzen und wir werden die Zeit, die wir damit verbracht haben, unser Ziel zu erreichen, nicht infrage stellen.“ Ein leitender Beamter des DHS bestätigte, dass Mayorkas sich bisher nicht mit seinem neuen, externen Anwalt getroffen hat. Nur ein Kabinettsmitglied wurde bisher je des Amtes enthoben, Kriegsminister William Belknap. 1876 wurde Belknap, der unter der Regierung von Präsident Ulysses S. Grant arbeitete, beschuldigt, Bestechungsgelder anzunehmen, wurde letztendlich aber vom Senat freigesprochen.
